UUID,Time,Question,Final Prompt,BigM Tokens,Num Big Times,Tokens Generated,BigM Percentage
5e543145-fe7e-4334-ad1b-76557090df72,20250417-171712,224,7,2848,7.865168539325842
738b6745-af57-4f90-a20c-fa66b7430adb,20250417-171712,448,14,4992,8.974358974358974
94da2c0c-dc6e-4472-ad48-f2c796e8bbf4,20250417-171901,128,4,2688,4.761904761904762
ca441261-6456-4e18-bc3d-2803d5d1b20a,20250417-171810,544,17,4576,11.888111888111888
ac9475a3-4f65-4ba6-9a13-00d4902388f9,20250417-171712,1728,54,16384,10.546875
00b5ce01-365d-4102-ba8c-81df9f9b0fc6,20250417-171712,1312,41,16384,8.0078125
90573d0e-c9df-4321-8ce3-03571a4e1835,20250417-171712,1632,51,16384,9.9609375
ee213b84-d9d8-49b4-93ae-88181dc55242,20250417-171712,1440,45,16384,8.7890625
6594fc91-bfad-4f97-858c-3f43eac6135c,20250417-171712,1728,54,16384,10.546875
29f41be4-7dbd-4df7-8e8c-28982fa96a7c,20250417-171712,1664,52,16384,10.15625
13eabed8-58ac-4f5d-a413-322681fa088c,20250417-172007,1056,33,16384,6.4453125
a2b05cc0-d56e-43ab-abfe-599e022bece5,20250417-172009,2016,63,16384,12.3046875
0f3272dc-0592-4476-b582-b56b05d30ad8,20250417-172659,1984,62,16384,12.109375
b6e643d2-defd-417e-852b-65ead95113b6,20250417-172753,1888,59,16384,11.5234375
3b3aa4b3-ad98-46c6-ad9e-604d7b46b1a5,20250417-172813,1472,46,16384,8.984375
eed7ad0a-ec4e-4c77-bd14-b452e27b8e42,20250417-172828,1600,50,16384,9.765625
f0af371d-a72c-4566-82bc-c8c4bfd6adba,20250417-172830,2304,72,16384,14.0625
98ca650d-9e8e-4f0d-a9ff-3528756ffb58,20250417-172826,1632,51,16384,9.9609375
657ed20d-6e1d-4976-a48c-c434ab06b38d,20250417-173908,480,15,5184,9.25925925925926
76af494b-4cff-4e7f-8841-20ce8371a910,20250417-173215,1312,41,16384,8.0078125
71522fa8-d593-41b2-add7-ccda6d15a228,20250417-173257,1312,41,16384,8.0078125
